Station Name,Region,Sub Region,State,Year,Total Days
CITY OF COLORADO SPRINGS MUNICIPAL AP,WEST,MOUNTAIN,CO,2013,48
ALBUQUERQUE INTL SUNPORT AIRPORT,WEST,MOUNTAIN,NM,2013,40
AUSTIN STRAUBEL INTERNATIONAL AP,MIDWEST,EAST NORTH CENTRAL,WI,2013,39
GREATER ROCHESTER INTERNATIONAL AP,NORTHEAST,MIDDLE ATLANTIC,NY,2013,39
MANCHESTER AIRPORT,NORTHEAST,NEW ENGLAND,NH,2013,39
PORTLAND INTERNATIONAL JETPORT AP,NORTHEAST,NEW ENGLAND,ME,2013,39
BURLINGTON INTERNATIONAL AIRPORT,NORTHEAST,NEW ENGLAND,VT,2013,38
DULUTH INTERNATIONAL AIRPORT,MIDWEST,WEST NORTH CENTRAL,MN,2013,38
GEN E L LOGAN INTERNATIONAL AIRPORT,NORTHEAST,NEW ENGLAND,MA,2013,38
ALBANY INTERNATIONAL AIRPORT,NORTHEAST,MIDDLE ATLANTIC,NY,2013,37
GENERAL MITCHELL INTERNATIONAL AP,MIDWEST,EAST NORTH CENTRAL,WI,2013,37
THEODORE F GREEN STATE AIRPORT,NORTHEAST,NEW ENGLAND,RI,2013,37
HECTOR INTERNATIONAL AIRPORT,MIDWEST,WEST NORTH CENTRAL,ND,2013,36
NATRONA COUNTY INTERNATIONAL AP,WEST,MOUNTAIN,WY,2013,35
SYRACUSE HANCOCK INTERNATIONAL AP,NORTHEAST,MIDDLE ATLANTIC,NY,2013,35
BRADLEY INTERNATIONAL AIRPORT,NORTHEAST,NEW ENGLAND,CT,2013,33
CHICAGO MIDWAY INTL ARPT,MIDWEST,EAST NORTH CENTRAL,IL,2013,33
JOE FOSS FIELD AIRPORT,MIDWEST,WEST NORTH CENTRAL,SD,2013,33
MINNEAPOLIS-ST PAUL INTERNATIONAL AP,MIDWEST,WEST NORTH CENTRAL,MN,2013,33
BUFFALO NIAGARA INTERNATIONAL AP,NORTHEAST,MIDDLE ATLANTIC,NY,2013,32
DES MOINES INTERNATIONAL AIRPORT,MIDWEST,WEST NORTH CENTRAL,IA,2013,32
EPPLEY AIRFIELD AIRPORT,MIDWEST,WEST NORTH CENTRAL,NE,2013,32
CHICAGO O'HARE INTERNATIONAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,IL,2013,31
GERALD R FORD INTERNATIONAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,MI,2013,31
JOHN F KENNEDY INTERNATIONAL AIRPORT,NORTHEAST,MIDDLE ATLANTIC,NY,2013,31
LINCOLN MUNICIPAL AIRPORT,MIDWEST,WEST NORTH CENTRAL,NE,2013,31
GALLATIN FIELD AIRPORT,WEST,MOUNTAIN,MT,2013,30
NEWARK LIBERTY INTERNATIONAL AP,NORTHEAST,MIDDLE ATLANTIC,NJ,2013,30
DETROIT METRO WAYNE COUNTY AIRPORT,MIDWEST,EAST NORTH CENTRAL,MI,2013,29
LA GUARDIA AIRPORT,NORTHEAST,MIDDLE ATLANTIC,NY,2013,29
CLEVELAND-HOPKINS INTERNATIONAL AP,MIDWEST,EAST NORTH CENTRAL,OH,2013,28
EASTERN IOWA REGIONAL AIRPORT,MIDWEST,WEST NORTH CENTRAL,IA,2013,28
JUNEAU INTERNATIONAL,WEST,PACIFIC,AK,2013,27
TRENTON MERCER AIRPORT,NORTHEAST,MIDDLE ATLANTIC,NJ,2013,26
ATLANTIC CITY INTERNATIONAL AIRPORT,NORTHEAST,MIDDLE ATLANTIC,NJ,2013,25
TED STEVENS ANCHORAGE INTL,WEST,PACIFIC,AK,2013,25
WICHITA EISENHOWER NATIONAL,MIDWEST,WEST NORTH CENTRAL,KS,2013,25
BILLINGS LOGAN INTERNATIONAL AIRPORT,WEST,MOUNTAIN,MT,2013,24
NORFOLK INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,VA,2013,24
RONALD REAGAN WASHINGTON NATL AP,SOUTH,SOUTH ATLANTIC,VA,2013,24
BALTIMORE-WASHINGTON INTL AIRPORT,SOUTH,SOUTH ATLANTIC,MD,2013,23
FORT WAYNE INTERNATIONAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,IN,2013,23
HARRISBURG INTERNATIONAL AIRPORT,NORTHEAST,MIDDLE ATLANTIC,PA,2013,23
SALT LAKE CITY INTERNATIONAL AIRPORT,WEST,MOUNTAIN,UT,2013,23
ABRAHAM LINCOLN CAPITAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,IL,2013,22
J.M.COX DAYTON INTERNATIONAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,OH,2013,22
NWPT NEWS/WIMBURG INTL APT,SOUTH,SOUTH ATLANTIC,VA,2013,22
PHILADELPHIA INTERNATIONAL AIRPORT,NORTHEAST,MIDDLE ATLANTIC,PA,2013,22
FAIRBANKS INTERNATIONAL,WEST,PACIFIC,AK,2013,21
KANSAS CITY INTERNATIONAL AIRPORT,MIDWEST,WEST NORTH CENTRAL,MO,2013,21
PITTSBURGH INTERNATIONAL AIRPORT,NORTHEAST,MIDDLE ATLANTIC,PA,2013,21
RICHMOND INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,VA,2013,21
ANDREWS AIR FORCE BASE AIRPORT,SOUTH,SOUTH ATLANTIC,MD,2013,20
PORT COLUMBUS INTERNATIONAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,OH,2013,20
WASHINGTON DULLES INTERNATIONAL AP,SOUTH,SOUTH ATLANTIC,VA,2013,20
CHARLOTTESVILLE ALBEMARLE ARPT,SOUTH,SOUTH ATLANTIC,VA,2013,18
INDIANAPOLIS INTERNATIONAL AIRPORT,MIDWEST,EAST NORTH CENTRAL,IN,2013,18
